1
Central Connecticut State,17,1,16,.059,-23.29,-2.35,0,4,1,6,0,8,1040,1341,,680,374,953,.392,106,314,.338,186,293,.635,133,525,174,117,51,264,302
Central Florida,17,10,7,.588,4.88,1.88,1,4,6,3,2,3,1182,1131,,680,433,1010,.429,114,374,.305,202,293,.689,199,635,249,107,56,232,260
Central Michigan,17,10,7,.588,-1.00,-0.36,3,1,9,0,1,7,1425,1291,,680,497,1103,.451,144,422,.341,287,396,.725,197,642,218,160,37,210,252
Charleston Southern,16,7,9,.438,-16.01,-3.58,1,3,5,3,2,5,1087,1177,,640,391,949,.412,111,374,.297,194,273,.711,159,544,199,106,37,234,267
Charlotte,14,9,5,.643,2.25,-4.32,3,0,8,1,1,4,940,848,,570,325,724,.449,79,243,.325,211,289,.730,94,467,164,119,54,199,208
Chattanooga,17,11,6,.647,-0.81,-2.21,2,2,6,1,3,5,1226,1127,,685,450,1010,.446,148,413,.358,178,265,.672,174,609,250,82,28,205,261
Chicago State,19,4,15,.211,-30.10,-2.22,0,4,3,5,1,8,1234,1612,,760,419,1024,.409,109,343,.318,287,398,.721,160,608,204,106,55,347,396
Cincinnati,16,10,6,.625,11.76,4.70,3,1,7,1,1,3,1168,1055,,655,417,922,.452,100,322,.311,234,349,.670,174,614,236,101,66,241,299
Citadel,15,6,9,.400,-9.27,-1.52,0,4,3,4,3,5,1242,1178,,615,445,993,.448,160,459,.349,192,282,.681,157,576,249,117,36,225,270
Clemson,16,9,7,.563,11.25,6.13,3,3,7,4,1,2,1110,1028,,655,393,910,.432,135,412,.328,189,272,.695,136,550,214,121,38,206,233
Cleveland State,18,7,11,.389,-12.73,-1.62,3,2,4,4,1,7,1139,1303,,720,406,971,.418,68,242,.281,259,389,.666,190,610,207,146,46,294,369


Coastal Carolina,18,11,7,.611,3.32,-0.30,4,3,7,4,4,2,1448,1319,,720,509,1107,.460,147,391,.376,283,408,.694,243,752,253,147,62,287,360
Colgate,17,13,4,.765,-0.32,-3.76,4,0,7,0,5,4,1271,1177,,685,465,1037,.448,180,510,.353,161,204,.789,154,604,249,94,46,202,266
College of Charleston,18,11,7,.611,2.97,0.68,5,1,6,2,4,3,1271,1206,,720,438,991,.442,127,376,.338,268,353,.759,148,608,190,110,48,209,319
Colorado State,18,11,7,.611,4.43,3.26,2,3,6,3,2,3,1316,1271,,740,461,1003,.460,128,389,.329,264,397,.665,153,646,277,123,32,250,275
Colorado,16,13,3,.813,18.33,6.70,2,1,8,2,1,1,1166,980,,645,396,899,.440,120,329,.365,254,346,.734,177,618,220,100,57,228,221
